name,eyeColor,hairColor,height,weight,passportId,nationality,coordX,coordY,locationName,locationX,locationY
IP 50,GREEN,BLACK,180,75,IP0050,USA,10,10,ILoc 50,100,100
IP 51,GREEN,BLACK,180,75,IP0051,USA,10,10,ILoc 51,100,100
IP 52,GREEN,BLACK,180,75,IP0052,USA,10,10,ILoc 52,100,100
IP 53,GREEN,BLACK,180,75,IP0053,USA,10,10,ILoc 53,100,100
IP 54,GREEN,BLACK,180,75,IP0054,USA,10,10,ILoc 54,100,100
IP 55,GREEN,BLACK,180,75,IP0055,USA,10,10,ILoc 55,100,100
IP 56,GREEN,BLACK,180,75,IP0056,USA,10,10,ILoc 56,100,100
IP 57,GREEN,BLACK,180,75,IP0057,USA,10,10,ILoc 57,100,100
IP 58,GREEN,BLACK,180,75,IP0058,USA,10,10,ILoc 58,100,100
IP 59,GREEN,BLACK,180,75,IP0059,USA,10,10,ILoc 59,100,100
IP 60,GREEN,BLACK,180,75,IP0060,USA,10,10,ILoc 60,100,100
IP 61,GREEN,BLACK,180,75,IP0061,USA,10,10,ILoc 61,100,100
IP 62,GREEN,BLACK,180,75,IP0062,USA,10,10,ILoc 62,100,100
IP 63,GREEN,BLACK,180,75,IP0063,USA,10,10,ILoc 63,100,100
IP 64,GREEN,BLACK,180,75,IP0064,USA,10,10,ILoc 64,100,100
IP 65,GREEN,BLACK,180,75,IP0065,USA,10,10,ILoc 65,100,100
IP 66,GREEN,BLACK,180,75,IP0066,USA,10,10,ILoc 66,100,100
IP 67,GREEN,BLACK,180,75,IP0067,USA,10,10,ILoc 67,100,100
IP 68,GREEN,BLACK,180,75,IP0068,USA,10,10,ILoc 68,100,100
IP 69,GREEN,BLACK,180,75,IP0069,USA,10,10,ILoc 69,100,100
IP 70,GREEN,BLACK,180,75,IP0070,USA,10,10,ILoc 70,100,100
IP 71,GREEN,BLACK,180,75,IP0071,USA,10,10,ILoc 71,100,100
IP 72,GREEN,BLACK,180,75,IP0072,USA,10,10,ILoc 72,100,100
IP 73,GREEN,BLACK,180,75,IP0073,USA,10,10,ILoc 73,100,100
IP 74,GREEN,BLACK,180,75,IP0074,USA,10,10,ILoc 74,100,100
IP 75,GREEN,BLACK,180,75,IP0075,USA,10,10,ILoc 75,100,100
IP 76,GREEN,BLACK,180,75,IP0076,USA,10,10,ILoc 76,100,100
IP 77,GREEN,BLACK,180,75,IP0077,USA,10,10,ILoc 77,100,100
IP 78,GREEN,BLACK,180,75,IP0078,USA,10,10,ILoc 78,100,100
IP 79,GREEN,BLACK,180,75,IP0079,USA,10,10,ILoc 79,100,100
IP 80,GREEN,BLACK,180,75,IP0080,USA,10,10,ILoc 80,100,100
IP 81,GREEN,BLACK,180,75,IP0081,USA,10,10,ILoc 81,100,100
IP 82,GREEN,BLACK,180,75,IP0082,USA,10,10,ILoc 82,100,100
IP 83,GREEN,BLACK,180,75,IP0083,USA,10,10,ILoc 83,100,100
IP 84,GREEN,BLACK,180,75,IP0084,USA,10,10,ILoc 84,100,100
IP 85,GREEN,BLACK,180,75,IP0085,USA,10,10,ILoc 85,100,100
IP 86,GREEN,BLACK,180,75,IP0086,USA,10,10,ILoc 86,100,100
IP 87,GREEN,BLACK,180,75,IP0087,USA,10,10,ILoc 87,100,100
IP 88,GREEN,BLACK,180,75,IP0088,USA,10,10,ILoc 88,100,100
IP 89,GREEN,BLACK,180,75,IP0089,USA,10,10,ILoc 89,100,100
IP 90,GREEN,BLACK,180,75,IP0090,USA,10,10,ILoc 90,100,100
IP 91,GREEN,BLACK,180,75,IP0091,USA,10,10,ILoc 91,100,100
IP 92,GREEN,BLACK,180,75,IP0092,USA,10,10,ILoc 92,100,100
IP 93,GREEN,BLACK,180,75,IP0093,USA,10,10,ILoc 93,100,100
IP 94,GREEN,BLACK,180,75,IP0094,USA,10,10,ILoc 94,100,100
IP 95,GREEN,BLACK,180,75,IP0095,USA,10,10,ILoc 95,100,100
IP 96,GREEN,BLACK,180,75,IP0096,USA,10,10,ILoc 96,100,100
IP 97,GREEN,BLACK,180,75,IP0097,USA,10,10,ILoc 97,100,100
IP 98,GREEN,BLACK,180,75,IP0098,USA,10,10,ILoc 98,100,100
IP 99,GREEN,BLACK,180,75,IP0099,USA,10,10,ILoc 99,100,100
IP 100,GREEN,BLACK,180,75,IP00100,USA,10,10,ILoc 100,100,100
